id,nome_produto,lote,validade, quantidade
A01,Fabricante A,L001A,15/04/2024,15
A01,Fabricante A,L002A,30/05/2024,15
A01,Fabricante A,L003A,10/06/2024,15
A01,Fabricante A,L004A,20/07/2024,15
A01,Fabricante A,L005A,05/08/2024,15
B02,Fabricante B,L001B,25/04/2024,15
B02,Fabricante B,L002B,12/06/2024,15
B02,Fabricante B,L003B,18/07/2024,15
B02,Fabricante B,L004B,02/09/2024,15
B02,Fabricante B,L005B,21/10/2024,15
C03,Fabricante C,L001C,05/05/2024,15
C03,Fabricante C,L002C,22/06/2024,15
C03,Fabricante C,L003C,08/08/2024,15
C03,Fabricante C,L004C,14/09/2024,15
C03,Fabricante C,L005C,30/10/2024,15
D04,Fabricante D,L001D,10/05/2024,15
D04,Fabricante D,L002D,28/06/2024,15
D04,Fabricante D,L003D,15/08/2024,15
D04,Fabricante D,L004D,22/09/2024,15
D04,Fabricante D,L005D,07/11/2024,15
E05,Fabricante E,L001E,20/05/2024,15
E05,Fabricante E,L002E,10/07/2024,15
E05,Fabricante E,L003E,25/08/2024,15
E05,Fabricante E,L004E,05/10/2024,15
E05,Fabricante E,L005E,18/11/2024,15
